State,Year,DC_Opened,PrevPrice,Avg_kWh,Pred_baseline,DC_minus10,Pred_minus10,DC_plus10,Pred_plus10,DC_plus20,Pred_plus20,DC_slow75,Pred_slow75,DC_fast150,Pred_fast150,DC_ban0,Pred_ban0
MO,2019,1,0.10405437251446192,0.10802169758692802,0.10430542141401868,0.9,0.10430542141401868,1.1,0.10430542141401868,1.2,0.10430542141401868,0.75,0.10430542141401868,1.5,0.10430542141401868,0.0,0.10492970874089062
MO,2020,0,0.10802169758692802,0.1018747566337162,0.1054196791266154,0.0,0.1054196791266154,0.0,0.1054196791266154,0.0,0.1054196791266154,0.0,0.1054196791266154,0.0,0.1054196791266154,0.0,0.1054196791266154
MO,2021,0,0.1018747566337162,0.10295799406907215,0.10418298152125413,0.0,0.10418298152125413,0.0,0.10418298152125413,0.0,0.10418298152125413,0.0,0.10418298152125413,0.0,0.10418298152125413,0.0,0.10418298152125413
MO,2022,0,0.10295799406907215,0.1053055443659938,0.1048149780936977,0.0,0.1048149780936977,0.0,0.1048149780936977,0.0,0.1048149780936977,0.0,0.1048149780936977,0.0,0.1048149780936977,0.0,0.1048149780936977
NE,2018,0,0.1031269789564044,0.10504045237940506,0.10483019769108907,0.0,0.10483019769108907,0.0,0.10483019769108907,0.0,0.10483019769108907,0.0,0.10483019769108907,0.0,0.10483019769108907,0.0,0.10483019769108907
NE,2019,1,0.10504045237940506,0.11107135006833731,0.10440802083489656,0.9,0.10440802083489656,1.1,0.10440802083489656,1.2,0.10440802083489656,0.75,0.10440802083489656,1.5,0.10440802083489656,0.0,0.10516009200016019
NE,2020,0,0.11107135006833731,0.09182614876321772,0.1113078555705929,0.0,0.1113078555705929,0.0,0.1113078555705929,0.0,0.1113078555705929,0.0,0.1113078555705929,0.0,0.1113078555705929,0.0,0.1113078555705929
NE,2021,0,0.09182614876321772,0.0899723953328758,0.09532005873321597,0.0,0.09532005873321597,0.0,0.09532005873321597,0.0,0.09532005873321597,0.0,0.09532005873321597,0.0,0.09532005873321597,0.0,0.09532005873321597
NE,2022,0,0.0899723953328758,0.08983544720482951,0.09518833885954518,0.0,0.09518833885954518,0.0,0.09518833885954518,0.0,0.09518833885954518,0.0,0.09518833885954518,0.0,0.09518833885954518,0.0,0.09518833885954518
NV,2014,1,0.07882606261199007,0.07786512754956143,0.08836480945669009,0.9,0.08836480945669009,1.1,0.08836480945669009,1.2,0.08836480945669009,0.75,0.08836480945669009,1.5,0.08836480945669009,0.0,0.08960246855348494
NV,2015,1,0.07786512754956143,0.09193532052133907,0.08836480945669009,0.9,0.08836480945669009,1.1,0.08836480945669009,1.2,0.08836480945669009,0.75,0.08836480945669009,1.5,0.08836480945669009,0.0,0.08960246855348494
NV,2016,0,0.09193532052133907,0.08981255113040017,0.09475113953270477,0.0,0.09475113953270477,0.0,0.09475113953270477,0.0,0.09475113953270477,0.0,0.09475113953270477,0.0,0.09475113953270477,0.0,0.09475113953270477
NV,2017,0,0.08981255113040017,0.09505057679648869,0.09462376436056147,0.0,0.09462376436056147,0.0,0.09462376436056147,0.0,0.09462376436056147,0.0,0.09462376436056147,0.0,0.09462376436056147,0.0,0.09462376436056147
NV,2018,2,0.09505057679648869,0.09986557370280344,0.09843762532141327,1.8,0.09843762532141327,2.2,0.09843762532141327,2.4,0.09843762532141327,1.5,0.09779980082220285,3.0,0.09856262090664775,0.0,0.09858634059151736
